unique_code,species_acronym,mother_tree,plot_id,block,subblock,died,date_mortality,days_at_risk,species_id_flag,risk_time_flag,plot_control_date_flag
CH-MT4-P29,CH,4,XP201-PR,1,A,0,NA,201,FALSE,FALSE,FALSE
PA-MT3-P12,PA,3,XP201-PR,1,A,0,NA,344,FALSE,FALSE,FALSE
OP-MT9-P38,OP,9,XP201-PR,1,A,0,NA,344,FALSE,FALSE,FALSE
BG-MT5-P4,BG,5,XP201-PR,1,A,0,NA,35,FALSE,FALSE,FALSE
EA-MT5-P33,EA,5,XP201-PR,1,A,0,NA,104,FALSE,FALSE,FALSE
IS-MT2-P61,IS,2,XP201-PR,1,A,0,NA,344,FALSE,FALSE,FALSE
AE-MT4-P24,AE,4,XP201-PR,1,A,0,NA,35,FALSE,FALSE,FALSE
BS-MT5-P38,BS,5,XP201-PR,1,A,0,NA,104,FALSE,FALSE,FALSE
BU-MT1-P7,BU,1,XP201-PR,1,A,0,NA,294,FALSE,FALSE,FALSE
VB-MT4-P16,VB,4,XP201-PR,1,A,0,NA,35,FALSE,FALSE,FALSE
BG-MT1-P12,BG,1,XP201-PR,1,A,1,2026-02-25,201,FALSE,FALSE,FALSE
PG-MT5-P41,PG,5,XP201-PR,1,A,0,NA,35,FALSE,FALSE,FALSE
CP-MT3-P3,CP,3,XP201-PR,1,B,0,NA,294,FALSE,FALSE,FALSE
PA-MT6-P102,PA,6,XP201-PR,1,B,0,NA,35,FALSE,FALSE,FALSE
IS-MT5-P2,IS,5,XP201-PR,1,B,0,NA,344,FALSE,FALSE,FALSE
BU-MT1-P22,BU,1,XP201-PR,1,B,0,NA,294,FALSE,FALSE,FALSE
CH-MT2-P11,CH,2,XP201-PR,1,B,0,NA,201,FALSE,FALSE,FALSE
OP-MT7-P13,OP,7,XP201-PR,1,B,0,NA,294,FALSE,FALSE,FALSE
BP-MT1-P18,BP,1,XP201-PR,1,B,0,NA,35,FALSE,FALSE,FALSE
AE-MT2-P17,AE,2,XP201-PR,1,B,0,NA,35,FALSE,FALSE,FALSE
BS-MT6-P8,BS,6,XP201-PR,1,B,0,NA,201,FALSE,FALSE,FALSE
EA-MT1-P34,EA,1,XP201-PR,1,B,0,NA,104,FALSE,FALSE,FALSE
BG-MT3-P21,BG,3,XP201-PR,1,B,0,NA,201,FALSE,FALSE,FALSE
VB-MT3-P20,VB,3,XP201-PR,1,B,0,NA,35,FALSE,FALSE,FALSE
DC-MT5-P76,DC,5,XP201-PR,1,B,0,NA,35,FALSE,FALSE,FALSE
PG-MT4-P89,PG,4,XP201-PR,1,B,0,NA,35,FALSE,FALSE,FALSE
AE-MT4-P27,AE,4,XP201-PR,1,C,0,NA,35,FALSE,FALSE,FALSE
BG-MT4-P15,BG,4,XP201-PR,1,C,0,NA,201,FALSE,FALSE,FALSE
DC-MT3-P29,DC,3,XP201-PR,1,C,0,NA,201,FALSE,FALSE,FALSE
BS-MT7-P13,BS,7,XP201-PR,1,C,0,NA,201,FALSE,FALSE,FALSE
CH-MT4-P61,CH,4,XP201-PR,1,C,0,NA,201,FALSE,FALSE,FALSE
IS-MT4-P56,IS,4,XP201-PR,1,C,0,NA,294,FALSE,FALSE,FALSE
PA-MT6-P30,PA,6,XP201-PR,1,C,0,NA,294,FALSE,FALSE,FALSE
CP-MT1-P46,CP,1,XP201-PR,1,C,0,NA,201,FALSE,FALSE,FALSE
VB-MT5-P12,VB,5,XP201-PR,1,C,0,NA,35,FALSE,FALSE,FALSE
MC-MT1-P6,MC,1,XP201-PR,1,C,0,NA,201,FALSE,FALSE,FALSE
BU-MT1-P20,BU,1,XP201-PR,1,C,0,NA,104,FALSE,FALSE,FALSE
BP-MT2-P53,BP,2,XP201-PR,1,C,1,2026-02-25,35,FALSE,FALSE,FALSE
PG-MT3-P62,PG,3,XP201-PR,1,C,0,NA,35,FALSE,FALSE,FALSE
EA-MT5-P82,EA,5,XP201-PR,1,C,0,NA,35,FALSE,FALSE,FALSE
BG-MT3-P75,BG,3,XP201-PR,2,A,0,NA,201,FALSE,FALSE,FALSE
BS-MT5-P21,BS,5,XP201-PR,2,A,0,NA,201,FALSE,FALSE,FALSE
AE-MT5-P50,AE,5,XP201-PR,2,A,0,NA,35,FALSE,FALSE,FALSE
DC-MT4-P10,DC,4,XP201-PR,2,A,0,NA,201,FALSE,FALSE,FALSE
EA-MT4-P14,EA,4,XP201-PR,2,A,0,NA,294,FALSE,FALSE,FALSE
OP-MT2-P7,OP,2,XP201-PR,2,A,0,NA,344,FALSE,FALSE,FALSE
IS-MT3-P3,IS,3,XP201-PR,2,A,0,NA,344,FALSE,FALSE,FALSE
PG-MT2-P69,PG,2,XP201-PR,2,A,1,2026-02-25,35,FALSE,FALSE,FALSE
CH-MT3-P55,CH,3,XP201-PR,2,A,0,NA,201,FALSE,FALSE,FALSE
CP-MT4-P13,CP,4,XP201-PR,2,A,0,NA,294,FALSE,FALSE,FALSE
VB-MT1-P28,VB,1,XP201-PR,2,A,0,NA,201,FALSE,FALSE,FALSE
BP-MT4-P31,BP,4,XP201-PR,2,A,0,NA,35,FALSE,FALSE,FALSE
BU-MT1-P38,BU,1,XP201-PR,2,A,0,NA,104,FALSE,FALSE,FALSE
DC-MT4-P20,DC,4,XP201-PR,2,B,0,NA,201,FALSE,FALSE,FALSE
EA-MT5-P10,EA,5,XP201-PR,2,B,0,NA,104,FALSE,FALSE,FALSE
PG-MT3-P59,PG,3,XP201-PR,2,B,0,NA,35,FALSE,FALSE,FALSE
CP-MT2-P49,CP,2,XP201-PR,2,B,0,NA,294,FALSE,FALSE,FALSE
BG-MT5-P14,BG,5,XP201-PR,2,B,0,NA,201,FALSE,FALSE,FALSE
OP-MT6-P3,OP,6,XP201-PR,2,B,1,2025-08-08,93,FALSE,FALSE,FALSE
OP-MT7-P4,OP,7,XP201-PR,2,B,0,NA,104,FALSE,FALSE,FALSE
BP-MT3-P42,BP,3,XP201-PR,2,B,0,NA,35,FALSE,FALSE,FALSE
PA-MT6-P61,PA,6,XP201-PR,2,B,0,NA,294,FALSE,FALSE,FALSE
MC-MT1-P19,MC,1,XP201-PR,2,B,0,NA,201,FALSE,FALSE,FALSE
IS-MT1-P5,IS,1,XP201-PR,2,B,0,NA,294,FALSE,FALSE,FALSE
CH-MT5-P31,CH,5,XP201-PR,2,B,0,NA,201,FALSE,FALSE,FALSE
BS-MT6-P56,BS,6,XP201-PR,2,B,0,NA,104,FALSE,FALSE,FALSE
VB-MT2-P19,VB,2,XP201-PR,2,B,0,NA,35,FALSE,FALSE,FALSE
BU-MT2-P1,BU,2,XP201-PR,2,B,0,NA,201,FALSE,FALSE,FALSE
AE-MT2-P30,AE,2,XP201-PR,2,B,0,NA,35,FALSE,FALSE,FALSE
BP-MT1-P7,BP,1,XP201-PR,2,C,0,NA,35,FALSE,FALSE,FALSE
BG-MT1-P75,BG,1,XP201-PR,2,C,0,NA,201,FALSE,FALSE,FALSE
PG-MT2-P16,PG,2,XP201-PR,2,C,0,NA,35,FALSE,FALSE,FALSE
IS-MT1-P57,IS,1,XP201-PR,2,C,0,NA,294,FALSE,FALSE,FALSE
BU-MT3-P75,BU,3,XP201-PR,2,C,0,NA,201,FALSE,FALSE,FALSE
DC-MT3-P51,DC,3,XP201-PR,2,C,0,NA,201,FALSE,FALSE,FALSE
EA-MT5-P71,EA,5,XP201-PR,2,C,0,NA,104,FALSE,FALSE,FALSE
VB-MT2-P62,VB,2,XP201-PR,2,C,0,NA,35,FALSE,FALSE,FALSE
OP-MT7-P2,OP,7,XP201-PR,2,C,0,NA,294,FALSE,FALSE,FALSE
CH-MT1-P16,CH,1,XP201-PR,2,C,1,2025-08-08,93,FALSE,FALSE,FALSE
CH-MT2-P60,CH,2,XP201-PR,2,C,0,NA,35,FALSE,FALSE,FALSE
CP-MT5-P13,CP,5,XP201-PR,2,C,0,NA,201,FALSE,FALSE,FALSE
AE-MT3-P48,AE,3,XP201-PR,2,C,0,NA,35,FALSE,FALSE,FALSE
BS-MT5-P56,BS,5,XP201-PR,2,C,0,NA,104,FALSE,FALSE,FALSE
PG-MT1-P10,PG,1,XP201-PR,3,A,0,NA,35,FALSE,FALSE,FALSE
VB-MT5-P68,VB,5,XP201-PR,3,A,0,NA,35,FALSE,FALSE,FALSE
DC-MT2-P21,DC,2,XP201-PR,3,A,1,2026-02-25,201,FALSE,FALSE,FALSE
AE-MT3-P1,AE,3,XP201-PR,3,A,0,NA,35,FALSE,FALSE,FALSE
MC-MT3-P46,MC,3,XP201-PR,3,A,0,NA,201,FALSE,FALSE,FALSE
IS-MT2-P60,IS,2,XP201-PR,3,A,0,NA,344,FALSE,FALSE,FALSE
OP-MT2-P45,OP,2,XP201-PR,3,A,0,NA,344,FALSE,FALSE,FALSE
CH-MT1-P45,CH,1,XP201-PR,3,A,1,2026-02-25,294,FALSE,FALSE,FALSE
EA-MT2-P16,EA,2,XP201-PR,3,A,0,NA,294,FALSE,FALSE,FALSE
CP-MT4-P23,CP,4,XP201-PR,3,A,0,NA,294,FALSE,FALSE,FALSE
BG-MT5-P15,BG,5,XP201-PR,3,A,0,NA,201,FALSE,FALSE,FALSE
BS-MT1-P46,BS,1,XP201-PR,3,A,0,NA,104,FALSE,FALSE,FALSE
BU-MT3-P13,BU,3,XP201-PR,3,A,0,NA,35,FALSE,FALSE,FALSE
BP-MT2-P31,BP,2,XP201-PR,3,A,0,NA,35,FALSE,FALSE,FALSE
BU-MT4-P31,BU,4,XP201-PR,3,B,0,NA,201,FALSE,FALSE,FALSE
BG-MT2-P39,BG,2,XP201-PR,3,B,0,NA,201,FALSE,FALSE,FALSE
OP-MT8-P23,OP,8,XP201-PR,3,B,0,NA,294,FALSE,FALSE,FALSE
BS-MT5-P81,BS,5,XP201-PR,3,B,1,2026-02-25,35,FALSE,FALSE,FALSE
IS-MT5-P14,IS,5,XP201-PR,3,B,0,NA,344,FALSE,FALSE,FALSE
VB-MT3-P39,VB,3,XP201-PR,3,B,0,NA,35,FALSE,FALSE,FALSE
PG-MT2-P39,PG,2,XP201-PR,3,B,0,NA,35,FALSE,FALSE,FALSE
EA-MT2-P60,EA,2,XP201-PR,3,B,0,NA,294,FALSE,FALSE,FALSE
MC-MT2-P4,MC,2,XP201-PR,3,B,0,NA,201,FALSE,FALSE,FALSE
CP-MT1-P36,CP,1,XP201-PR,3,B,0,NA,201,FALSE,FALSE,FALSE
