unique_code,species_raw,Date_treelet_planted,plot_id,block,subblock,Location,Tube,n_leaves,n_leaves_damaged,#Leaves with epiphylls,%Herbivory L1,%Herbivory L2,%Herbivory L3,%Herbivory L4,%Herbivory L5,%Herbivory L6,%Herbivory L7,%Herbivory L8,%Herbivory L9,%Herbivory L10,total_damage,species_acronym,mother_tree,leaf_count_flag
CH-MT4-P29,Cecropia hispidissima,August 08 2025,XP201-PR,1,A,1,A1,6,5,0,1,1,1,0.5,0.5,NA,NA,NA,NA,NA,0.5,CH,4,FALSE
PA-MT3-P12,Piper aduncum,March 18 2025,XP201-PR,1,A,2,A2,102,65,0,2.5,0.5,0.5,5,1,1,10,5,20,5,1,PA,3,FALSE
OP-MT9-P38,Ochroma pyramidale,March 18 2025,XP201-PR,1,A,3,A3,22,16,9,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,OP,9,FALSE
BG-MT5-P4,Bauhinia pichinchensis,January 21 2026,XP201-PR,1,A,4,A4,3,2,0,15,5,NA,NA,NA,NA,NA,NA,NA,NA,10,BG,5,FALSE
EA-MT5-P33,Ecuadendron acosta-solisianum,November 13 2025,XP201-PR,1,A,5,A5,22,8,8,2.5,1,2.5,0.5,0.5,0.5,1,0.5,NA,NA,0.5,EA,5,FALSE
IS-MT2-P61,Inga silanchensis,March 18 2025,XP201-PR,1,A,7,A7,11,11,4,12.5,12.5,5,5,15,2.5,15,5,1,10,15,IS,2,FALSE
AE-MT4-P24,Annona edulis,January 21 2026,XP201-PR,1,A,10,A10,6,4,0,1,5,7.5,0.5,NA,NA,NA,NA,NA,NA,2.5,AE,4,FALSE
BS-MT5-P38,Bactris setulosa,November 13 2025,XP201-PR,1,A,11,A11,4,3,3,1,1,50,NA,NA,NA,NA,NA,NA,NA,12.5,BS,5,FALSE
BU-MT1-P7,Brosimum utile,May 07 2025,XP201-PR,1,A,12,A12,11,3,9,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,0.5,BU,1,FALSE
VB-MT4-P16,Vismia baccifera,January 21 2026,XP201-PR,1,A,13,A13,14,3,2,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,0.5,VB,4,FALSE
BG-MT1-P12,Banara guianensis,August 08 2025,XP201-PR,1,A,15,A15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BG,1,FALSE
PG-MT5-P41,Pouruma guianensis,January 21 2026,XP201-PR,1,A,16,A16,6,3,0,1,2.5,0.5,NA,NA,NA,NA,NA,NA,NA,0.5,PG,5,FALSE
CP-MT3-P3,Carapa guianensis,May 07 2025,XP201-PR,1,B,1,B1,6,6,4,2.5,0.5,5,0.5,1,0.5,NA,NA,NA,NA,1,CP,3,FALSE
PA-MT6-P102,Piper aduncum,January 21 2026,XP201-PR,1,B,2,B2,8,6,0,2.5,2.5,1,20,0.5,0.5,NA,NA,NA,NA,5,PA,6,FALSE
IS-MT5-P2,Inga silanchensis,March 18 2025,XP201-PR,1,B,3,B3,8,7,5,2.5,10,1,0.5,2.5,5,1,NA,NA,NA,2.5,IS,5,FALSE
BU-MT1-P22,Brosimum utile,May 07 2025,XP201-PR,1,B,4,B4,9,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BU,1,FALSE
CH-MT2-P11,Cecropia hispidissima,August 08 2025,XP201-PR,1,B,6,B6,10,9,3,0.5,7.5,15,1,1,0.5,1,5,5,NA,2.5,CH,2,FALSE
OP-MT7-P13,Ochroma pyramidale,May 07 2025,XP201-PR,1,B,7,B7,61,24,NA,1,1,5,0.5,0.5,1,1,0.5,1,0.5,1,OP,7,FALSE
BP-MT1-P18,Bauhinia pichinchensis,January 21 2026,XP201-PR,1,B,8,B8,2,2,0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5,BP,1,FALSE
AE-MT2-P17,Annona edulis,January 21 2026,XP201-PR,1,B,9,B9,20,8,3,2.5,2.5,10,5,0.5,2.5,0.5,0.5,NA,NA,1,AE,2,FALSE
BS-MT6-P8,Bactris setulosa,August 08 2025,XP201-PR,1,B,10,B10,5,2,3,35,5,NA,NA,NA,NA,NA,NA,NA,NA,7.5,BS,6,FALSE
EA-MT1-P34,Ecuadendron acosta-solisianum,November 13 2025,XP201-PR,1,B,11,B11,16,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,EA,1,FALSE
BG-MT3-P21,Banara guianensis,August 08 2025,XP201-PR,1,B,12,B12,78,54,40,15,25,30,5,1,1,5,25,5,10,2.5,BG,3,FALSE
VB-MT3-P20,Vismia baccifera,January 21 2026,XP201-PR,1,B,13,B13,27,4,3,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,0.5,VB,3,FALSE
DC-MT5-P76,Dacryodes cupularis,January 21 2026,XP201-PR,1,B,14,B14,3,2,1,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5,DC,5,FALSE
PG-MT4-P89,Pouruma guianensis,January 21 2026,XP201-PR,1,B,15,B15,4,1,0,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,PG,4,FALSE
AE-MT4-P27,Annona edulis,January 21 2026,XP201-PR,1,C,1,C1,13,7,1,5,1,0.5,0.5,1,5,1,NA,NA,NA,0.5,AE,4,FALSE
BG-MT4-P15,Banara guianensis,August 08 2025,XP201-PR,1,C,2,C2,119,62,30,0.5,15,0.5,35,1,10,0.5,20,20,5,2.5,BG,4,FALSE
DC-MT3-P29,Dacryodes cupularis,August 08 2025,XP201-PR,1,C,4,C4,6,2,3,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5,DC,3,FALSE
BS-MT7-P13,Bactris setulosa,August 08 2025,XP201-PR,1,C,5,C5,5,3,3,25,25,2.5,NA,NA,NA,NA,NA,NA,NA,10,BS,7,FALSE
CH-MT4-P61,Cecropia hispidissima,August 08 2025,XP201-PR,1,C,6,C6,3,3,0,65,90,90,NA,NA,NA,NA,NA,NA,NA,80,CH,4,FALSE
IS-MT4-P56,Inga silanchensis,May 07 2025,XP201-PR,1,C,7,C7,20,20,NA,50,45,50,35,15,5,1,25,2.5,5,25,IS,4,FALSE
PA-MT6-P30,Piper aduncum,May 07 2025,XP201-PR,1,C,8,C8,304,94,31,0.5,0.5,5,5,1,1,0.5,20,5,2.5,0.5,PA,6,FALSE
CP-MT1-P46,Carapa guianensis,August 08 2025,XP201-PR,1,C,9,C9,8,5,4,5,0.5,0.5,0.5,1,NA,NA,NA,NA,NA,1,CP,1,FALSE
VB-MT5-P12,Vismia baccifera,January 21 2026,XP201-PR,1,C,10,C10,34,1,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,VB,5,FALSE
MC-MT1-P6,Miconia conocuatrecasasii,August 08 2025,XP201-PR,1,C,11,C11,15,12,5,30,0.5,12.5,1,10,2.5,50,20,2.5,5,2.5,MC,1,FALSE
BU-MT1-P20,Brosimum utile,November 13 2025,XP201-PR,1,C,12,C12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BU,1,FALSE
BP-MT2-P53,Bauhinia pichinchensis,January 21 2026,XP201-PR,1,C,13,C13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BP,2,FALSE
PG-MT3-P62,Pouruma guianensis,January 21 2026,XP201-PR,1,C,14,C14,3,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,PG,3,FALSE
EA-MT5-P82,Ecuadendron acosta-solisianum,January 21 2026,XP201-PR,1,C,15,C15,13,8,0,1,10,5,25,2.5,0.5,1,0.5,NA,NA,1,EA,5,FALSE
BG-MT3-P75,Banara guianensis,August 08 2025,XP201-PR,2,A,1,A1,49,31,27,25,22.5,0.5,0.5,0.5,5,10,2.5,10,1,2.5,BG,3,FALSE
BS-MT5-P21,Bactris setulosa,August 08 2025,XP201-PR,2,A,2,A2,6,3,4,50,35,0.5,NA,NA,NA,NA,NA,NA,NA,5,BS,5,FALSE
AE-MT5-P50,Annona edulis,January 21 2026,XP201-PR,2,A,3,A3,10,3,1,1,50,1,NA,NA,NA,NA,NA,NA,NA,5,AE,5,FALSE
DC-MT4-P10,Dacryodes cupularis,August 08 2025,XP201-PR,2,A,5,A5,5,4,3,0.5,1,1,0.5,NA,NA,NA,NA,NA,NA,1,DC,4,FALSE
EA-MT4-P14,Ecuadendron acosta-solisianum,May 07 2025,XP201-PR,2,A,6,A6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,EA,4,FALSE
OP-MT2-P7,Ochroma pyramidale,March 18 2025,XP201-PR,2,A,7,A7,40,21,NA,1,0.5,5,0.5,5,0.5,10,0.5,0.5,1,1,OP,2,FALSE
IS-MT3-P3,Inga silanchensis,March 18 2025,XP201-PR,2,A,8,A8,3,3,2,15,2.5,10,NA,NA,NA,NA,NA,NA,NA,10,IS,3,FALSE
PG-MT2-P69,Pouruma guianensis,January 21 2026,XP201-PR,2,A,9,A9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PG,2,FALSE
CH-MT3-P55,Cecropia hispidissima,August 08 2025,XP201-PR,2,A,10,A10,7,7,0,10,5,10,15,2.5,0.5,10,NA,NA,NA,7.5,CH,3,FALSE
CP-MT4-P13,Carapa guianensis,May 07 2025,XP201-PR,2,A,11,A11,8,8,6,1,1,0.5,30,0.5,1,2.5,2.5,NA,NA,1,CP,4,FALSE
VB-MT1-P28,Vismia baccifera,August 08 2025,XP201-PR,2,A,12,A12,56,54,20,30,30,40,17.5,70,40,50,80,20,75,50,VB,1,FALSE
BP-MT4-P31,Bauhinia pichinchensis,January 21 2026,XP201-PR,2,A,13,A13,6,4,0,0.5,7.5,0.5,10,NA,NA,NA,NA,NA,NA,2.5,BP,4,FALSE
BU-MT1-P38,Brosimum utile,November 13 2025,XP201-PR,2,A,14,A14,12,5,8,1,0.5,5,1,1,NA,NA,NA,NA,NA,0.5,BU,1,FALSE
DC-MT4-P20,Dacryodes cupularis,August 08 2025,XP201-PR,2,B,1,B1,2,1,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,DC,4,FALSE
EA-MT5-P10,Ecuadendron acosta-solisianum,November 13 2025,XP201-PR,2,B,2,B2,21,8,3,25,25,50,50,40,50,1,0.5,NA,NA,5,EA,5,FALSE
PG-MT3-P59,Pouruma guianensis,January 21 2026,XP201-PR,2,B,3,B3,7,3,0,50,10,1,NA,NA,NA,NA,NA,NA,NA,5,PG,3,FALSE
CP-MT2-P49,Carapa guianensis,May 07 2025,XP201-PR,2,B,4,B4,12,7,8,2.5,0.5,0.5,1,2.5,2.5,2.5,NA,NA,NA,1,CP,2,FALSE
BG-MT5-P14,Banara guianensis,August 08 2025,XP201-PR,2,B,5,B5,91,57,20,15,10,25,20,10,20,1,25,10,5,5,BG,5,FALSE
OP-MT6-P3,Ochroma pyramidale,May 07 2025,XP201-PR,2,B,6,B6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OP,6,FALSE
OP-MT7-P4,Ochroma pyramidale,November 13 2025,XP201-PR,2,B,6,B6,13,9,0,0.5,0.5,0.5,20,30,2.5,1,2.5,1,NA,5,OP,7,FALSE
BP-MT3-P42,Bauhinia pichinchensis,January 21 2026,XP201-PR,2,B,7,B7,3,1,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,BP,3,FALSE
PA-MT6-P61,Piper aduncum,May 07 2025,XP201-PR,2,B,8,B8,279,223,0,2.5,5,2.5,10,1,5,20,5,1,10,2.5,PA,6,FALSE
MC-MT1-P19,Miconia conocuatrecasasii,August 08 2025,XP201-PR,2,B,9,B9,18,17,9,5,1,0.5,0.5,0.5,5,1,50,10,0.5,0.5,MC,1,FALSE
IS-MT1-P5,Inga silanchensis,May 07 2025,XP201-PR,2,B,10,B10,7,7,5,10,15,10,50,25,10,10,NA,NA,NA,10,IS,1,FALSE
CH-MT5-P31,Cecropia hispidissima,August 08 2025,XP201-PR,2,B,12,B12,6,4,0,5,50,5,25,NA,NA,NA,NA,NA,NA,10,CH,5,FALSE
BS-MT6-P56,Bactris setulosa,November 13 2025,XP201-PR,2,B,13,B13,4,1,3,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,BS,6,FALSE
VB-MT2-P19,Vismia baccifera,January 21 2026,XP201-PR,2,B,14,B14,27,12,0,5,5,2.5,0.5,0.5,0.5,0.5,2.5,2.5,1,0.5,VB,2,FALSE
BU-MT2-P1,Brosimum utile,August 08 2025,XP201-PR,2,B,15,B15,9,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,BU,2,FALSE
AE-MT2-P30,Annona edulis,January 21 2026,XP201-PR,2,B,16,B16,11,5,1,0.5,0.5,0.5,1,1,NA,NA,NA,NA,NA,0.5,AE,2,FALSE
BP-MT1-P7,Bauhinia pichinchensis,January 21 2026,XP201-PR,2,C,1,C1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BP,1,FALSE
BG-MT1-P75,Banara guianensis,August 08 2025,XP201-PR,2,C,3,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BG,1,FALSE
PG-MT2-P16,Pouruma guianensis,January 21 2026,XP201-PR,2,C,4,C4,5,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,PG,2,FALSE
IS-MT1-P57,Inga silanchensis,May 07 2025,XP201-PR,2,C,5,C5,9,4,5,5,1,2.5,0.5,0.5,NA,NA,NA,NA,NA,0.5,IS,1,FALSE
BU-MT3-P75,Brosimum utile,August 08 2025,XP201-PR,2,C,6,C6,3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BU,3,FALSE
