plot_id,treatment,age_2026,implied_age,age_flag_mismatch,age_flag_unverified_og_age,age_flag,forest_1km,distance_forest,distance_edge,elevation
XP201-PR,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379
XP202-PR,Early regeneration,0,2,TRUE,FALSE,TRUE,0.76,78,0,219
XP203-PR,Early regeneration,9,9,FALSE,FALSE,FALSE,0.79,162,0,533
XP204-PR,Early regeneration,7,7,FALSE,FALSE,FALSE,0.8,166,0,555
XP205-PR,Early regeneration,9,9,FALSE,FALSE,FALSE,0.49,47,0,195
XP206-PR,Early regeneration,9,9,FALSE,FALSE,FALSE,0.53,105,0,180
XP207-PR,Early regeneration,6,6,FALSE,FALSE,FALSE,0.8,19,0,312
XP208-PR,Early regeneration,6,6,FALSE,FALSE,FALSE,0.78,26,0,462
XP209-PR,Early regeneration,3,3,FALSE,FALSE,FALSE,0.92,39,0,426
XP210-PR,Early regeneration,3,3,FALSE,FALSE,FALSE,0,105,0,210
XP211-PR,Early regeneration,4,4,FALSE,FALSE,FALSE,0.54,107,0,161
XP212-PR,Early regeneration,6,6,FALSE,FALSE,FALSE,0.7,100,0,160
XP213-PR,Early regeneration,6,6,FALSE,FALSE,FALSE,0.15,252,0,161
XP214-PR,Early regeneration,5,5,FALSE,FALSE,FALSE,0.57,115,0,185
XP215-PR,Early regeneration,3,3,FALSE,FALSE,FALSE,0.52,27,0,248
XP216-PLR,Late regeneration,31,31,FALSE,FALSE,FALSE,0.96,6,0,320
XP217-PLR,Late regeneration,24,24,FALSE,FALSE,FALSE,0.37,51,0,431
XP218-PLR,Late regeneration,15,15,FALSE,FALSE,FALSE,0.52,155,0,386
XP219-PLR,Late regeneration,30,30,FALSE,FALSE,FALSE,0.71,44,0,261
XP220-PLR,Late regeneration,50,NA,FALSE,TRUE,TRUE,0.58,75,0,194
XP221-OG,Old-Growth,50,NA,FALSE,FALSE,FALSE,0.71,0,36,374
XP222-OG,Old-Growth,50,NA,FALSE,FALSE,FALSE,0.75,0,166,328
XP223-OG,Old-Growth,50,NA,FALSE,FALSE,FALSE,0.87,0,215,422
XP224-OG,Old-Growth,50,NA,FALSE,FALSE,FALSE,0.76,0,102,346
XP225-OG,Old-Growth,50,NA,FALSE,FALSE,FALSE,0.95,0,316,359
