unique_code,species_acronym,toughness,chl_ug_cm2,fresh_weight_g,dry_weight_g
AE-MT1-P38,AE,4.465,20.51096825768238,0.729,0.22
AE-MT1-P66,AE,1.7149999999999999,18.629425675828447,0.599,0.086
AE-MT2-P52,AE,NA,29.431224180325266,NA,NA
AE-MT2-P67,AE,1.8475000000000001,19.102910209915564,0.284,0.049
AE-MT2-P90,AE,4.2,37.55888071442606,4.35,0.296
AE-MT3-P65,AE,2.8875,34.72533629236238,2.189,0.725
AE-MT4-P62,AE,2.8025,32.15234307986405,1.698,0.557
AE-MT5-P56,AE,NA,20.958840561871853,NA,NA
AE-MT5-P64,AE,10.155,25.16905880375729,5.65,2.39
BG-MT1-P100,BG,2.385,30.675512415916476,1.235,0.368
BG-MT1-P15,BG,2.3775,24.636464175976823,3.78,1.128
BG-MT1-P24,BG,1.8125000000000002,23.950500273824517,0.197,0.63
BG-MT1-P25,BG,1.69,24.85916115512613,0.115,0.02
BG-MT1-P3,BG,2.2025,36.93969260417911,3.204,1
BG-MT1-P37,BG,1.9525000000000001,25.452598884048832,0.153,0.03
BG-MT1-P39,BG,2.2824999999999998,18.500397969642737,1.488,0.418
BG-MT1-P46,BG,1.72,22.446242018437044,1.756,0.528
BG-MT1-P66,BG,2.7975,48.69299564055483,1.707,0.516
BG-MT1-P67,BG,1.9474999999999998,34.34540206646288,2.417,0.567
BG-MT1-P72,BG,2.0575,8.44724936598778,0.207,0.069
BG-MT1-P8,BG,1.88,24.825747043329066,0.568,0.165
BG-MT1-P81,BG,2.5275,29.272877759539305,1.698,0.465
BG-MT1-P83,BG,1.83,48.32402548788852,2.212,0.77
BG-MT1-P94,BG,4.93,32.19035557635539,3.583,0.446
BG-MT1-P97,BG,2.4050000000000002,33.807230653898074,0.173,0.053
BG-MT2-P34,BG,1.7874999999999999,25.87350547265551,0.116,0.038
BG-MT2-P5,BG,1.985,15.879586630520249,0.407,0.089
BG-MT2-P59,BG,1.9999999999999998,44.39626073079327,1.657,0.548
BG-MT2-P62,BG,2.1999999999999997,34.83136387110326,1.02,0.39
BG-MT2-P78,BG,2.2199999999999998,43.91219635319409,0.966,0.283
BG-MT2-P79,BG,2.1825,19.110485865308444,1.03,0.33
BG-MT2-P88,BG,1.8325,23.99787151968311,1.939,0.572
BG-MT2-P9,BG,1.9325,23.684132404396145,0.308,0.055
BG-MT2-P92,BG,1.62,27.535713295007046,3.43,0.988
BG-MT3-P15,BG,3.5,30.253747387453494,1.887,0.497
BG-MT3-P16,BG,1.9999999999999998,47.134387478921326,0.49,0.173
BG-MT3-P21,BG,1.99,33.31450329051778,1.307,0.336
BG-MT3-P22,BG,2.6550000000000002,37.182167331294536,1.949,0.619
BG-MT3-P31,BG,1.7725,41.36451419566446,2.376,0.677
BG-MT3-P32,BG,2.485,40.627832877921406,2.989,0.79
BG-MT3-P37,BG,2.015,19.678065321051946,3.36,0.89
BG-MT3-P38,BG,1.8599999999999999,7.088965753031844,0.104,0.035
BG-MT3-P40,BG,2.0075000000000003,15.583866368635059,1.02,0.29
BG-MT3-P55,BG,2.065,27.804816037799206,1.196,0.37
BG-MT3-P66,BG,1.1825,25.49160536168442,1.667,0.307
BG-MT3-P70,BG,1.7774999999999999,17.12021355912331,0.764,0.246
BG-MT3-P80,BG,1.6800000000000002,25.754116919404094,0.329,0.053
BG-MT4-P13,BG,1.6225,18.009754095556367,0.276,0.045
BG-MT4-P2,BG,1.5200000000000002,22.38377131780762,0.165,0.3
BG-MT4-P24,BG,2.1574999999999998,23.16009186453085,0.811,0.232
BG-MT4-P4,BG,3.1174999999999997,34.316462292869076,1.784,0.58
BG-MT4-P41,BG,1.69,15.104118991508658,0.215,0.03
BG-MT4-P57,BG,2.6275,37.75148423613485,1.62,0.506
BG-MT4-P9,BG,1.6925,26.291439444841277,0.376,0.07
BG-MT5-P1,BG,2.4375,22.369154491820712,2.07,0.698
BG-MT5-P43,BG,2.9575000000000005,56.53062461999779,1.828,0.578
BG-MT5-P45,BG,1.6075,16.85307050968244,0.227,0.031
BG-MT5-P48,BG,3,28.238680484239374,2.535,0.763
BG-MT5-P69,BG,2.5775,44.23743346553164,2.48,0.758
BG-MT5-P88,BG,1.805,15.507741892253906,0.136,0.058
BU-MT1-P1,BU,2.5124999999999997,6.488217019026028,0.26,0.098
BU-MT1-P10,BU,2.165,0.5980883738789959,0.117,0.052
BU-MT1-P23,BU,4.295,13.265761545588466,2.136,0.775
BU-MT1-P25,BU,2.5975,23.537679092085842,0.82,0.222
BU-MT1-P27,BU,2.8575,38.045148863759366,2.4,0.199
BU-MT1-P30,BU,3.6450000000000005,21.147938492092777,0.467,0.156
BU-MT1-P41,BU,2.6325,21.66582938372665,0.18,0.228
BU-MT1-P53,BU,1.5150000000000001,26.244519388308113,0.184,0.042
BU-MT1-P70,BU,2.8825000000000003,4.14762139947222,1.07,0.44
BU-MT2-P12,BU,2.6174999999999997,9.661075229635077,0.683,0.272
BU-MT2-P22,BU,2.685,12.892942752410692,0.278,0.087
BU-MT2-P24,BU,2.245,22.127224605728358,1.422,0.4
BU-MT2-P26,BU,3.7075,6.9143744541812255,0.665,0.224
BU-MT2-P46,BU,4.484999999999999,22.941776886959115,2.198,0.672
BU-MT2-P51,BU,3.2875,18.527437701353982,1.252,0.385
BU-MT2-P7,BU,2.1625,30.717974895719287,1.152,0.327
BU-MT3-P11,BU,2.545,17.94333442619064,0.19,0.059
BU-MT3-P14,BU,4.2075,22.03450541238603,0.375,0.121
BU-MT3-P21,BU,2.6725,7.15183550278091,0.505,0.128
BU-MT3-P31,BU,2.9175,25.482788658202978,1.939,0.668
BU-MT3-P37,BU,2.48,23.911329928744145,0.819,0.213
BU-MT3-P54,BU,2.8574999999999995,8.119282824425602,0.667,0.198
BU-MT3-P74,BU,2.6725,23.871178490832325,0.806,0.228
BU-MT4-P14,BU,3.1925,24.329677914727128,2.043,0.65
BU-MT4-P20,BU,3.0525,19.632465227498574,0.769,0.304
BU-MT4-P3,BU,2.6125,NA,0.984,0.278
BU-MT4-P37,BU,4.1625000000000005,39.30768079637478,1.552,0.462
BU-MT4-P4,BU,1.5,16.006272579285906,0.488,0.143
BU-MT4-P48,BU,3.5625,10.650170659626633,0.49,0.163
BU-MT4-P55,BU,2.34,21.532825282242598,0.854,0.264
BU-MT4-P61,BU,3.37,26.189145963687466,1.806,0.676
BU-MT4-P64,BU,2.7525000000000004,19.110485865308444,0.811,0.273
BU-MT4-P66,BU,2.7899999999999996,22.727404852500136,1.309,0.4
BU-MT4-P77,BU,2.715,4.799584162189471,0.168,0.175
BU-MT4-P78,BU,NA,27.601073129002067,NA,NA
BU-MT4-P8,BU,3.075,26.10421022114656,0.925,0.372
BU-MT5-P14,BU,3.5549999999999997,9.576311009045142,2.939,0.955
BU-MT5-P20,BU,3.67,21.976836840980827,2.216,0.715
BU-MT5-P21,BU,2.5175,17.979651569915152,1.03,0.3
BU-MT5-P30,BU,2.2075,20.93734675631383,0.537,0.147
BU-MT5-P32,BU,2.1374999999999997,30.78506423087304,0.635,0.186
BU-MT5-P35,BU,6.7125,16.897405718381215,1.109,0.281
BU-MT5-P39,BU,2.465,25.052280224939942,1.02,0.298
BU-MT5-P48,BU,2.3800000000000003,34.55065733187559,0.598,0.18
BU-MT5-P56,BU,3.16,30.001510966254557,1.594,0.448
BU-MT5-P6,BU,2.4975,30.1448258634398,0.567,0.058
CH-MT1-P24,CH,1.31,24.112684104027053,2.516,0.753
CH-MT1-P30,CH,1.3825000000000003,43.9326298030317,1.27,0.322
CH-MT2-P14,CH,1.9224999999999999,42.76340657810451,1.125,0.32
CH-MT2-P28,CH,1.7950000000000002,61.83911013068113,2.796,0.869
CH-MT2-P43,CH,1.88,27.50619564367141,3.77,1
CH-MT2-P47,CH,1.31,44.35682763134461,1.976,0.528
CH-MT2-P59,CH,1.9275,70.89305978756549,3.771,1.103
CH-MT2-P64,CH,2.23,25.92596508409671,15.656,4.257
CH-MT2-P66,CH,1.65,43.68154581640508,3.199,0.701
CH-MT2-P8,CH,2.57,46.8902276115203,9.25,2.463
CH-MT3-81,CH,1.3599999999999999,21.89507459497984,5.723,1.268
CH-MT3-P20,CH,0.885,19.28233915471123,0.122,0.122
CH-MT3-P3,CH,1.5575,55.90890813106985,2.697,0.982
CH-MT3-P59,CH,1.15,52.36136602230317,6.137,1.648
CH-MT3-P61,CH,1.63,24.97617616436776,1.454,0.238
CH-MT3-P69,CH,1.4,33.537140730057416,3.23,1.07
