unique_code,species_acronym,mother_tree,plot_id,block,subblock,n_leaves,n_leaves_damaged,total_damage,leaf_count_flag,died,days_at_risk,toughness,chl_ug_cm2,fresh_weight_g,dry_weight_g,treatment,age_2026,implied_age,age_flag_mismatch,age_flag_unverified_og_age,age_flag,forest_1km,distance_forest,distance_edge,elevation,n_leaves_undamaged,severity_prop,severity_prop_sv
CH-MT4-P29,CH,4,XP201-PR,1,A,6,5,0.5,FALSE,0,201,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,1,0.005,0.005105521210829247
PA-MT3-P12,PA,3,XP201-PR,1,A,102,65,1,FALSE,0,344,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,37,0.01,0.01010445534001279
OP-MT9-P38,OP,9,XP201-PR,1,A,22,16,0.5,FALSE,0,344,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,6,0.005,0.005105521210829247
BG-MT5-P4,BG,5,XP201-PR,1,A,3,2,10,FALSE,0,35,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,1,0.1,0.10008526966531657
EA-MT5-P33,EA,5,XP201-PR,1,A,22,8,0.5,FALSE,0,104,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,14,0.005,0.005105521210829247
IS-MT2-P61,IS,2,XP201-PR,1,A,11,11,15,FALSE,0,344,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,0,0.15,0.150074610957152
AE-MT4-P24,AE,4,XP201-PR,1,A,6,4,2.5,FALSE,0,35,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,2,0.025,0.025101257727563418
BS-MT5-P38,BS,5,XP201-PR,1,A,4,3,12.5,FALSE,0,104,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,1,0.125,0.1250799403112343
BU-MT1-P7,BU,1,XP201-PR,1,A,11,3,0.5,FALSE,0,294,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,8,0.005,0.005105521210829247
VB-MT4-P16,VB,4,XP201-PR,1,A,14,3,0.5,FALSE,0,35,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,11,0.005,0.005105521210829247
BG-MT1-P12,BG,1,XP201-PR,1,A,NA,NA,NA,FALSE,1,201,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,NA,NA,NA
PG-MT5-P41,PG,5,XP201-PR,1,A,6,3,0.5,FALSE,0,35,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,3,0.005,0.005105521210829247
CP-MT3-P3,CP,3,XP201-PR,1,B,6,6,1,FALSE,0,294,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,0,0.01,0.01010445534001279
PA-MT6-P102,PA,6,XP201-PR,1,B,8,6,5,FALSE,0,35,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,2,0.05,0.05009592837348113
IS-MT5-P2,IS,5,XP201-PR,1,B,8,7,2.5,FALSE,0,344,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,1,0.025,0.025101257727563418
BU-MT1-P22,BU,1,XP201-PR,1,B,9,0,0,FALSE,0,294,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,9,0,1.0658708164570453e-4
CH-MT2-P11,CH,2,XP201-PR,1,B,10,9,2.5,FALSE,0,201,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,1,0.025,0.025101257727563418
OP-MT7-P13,OP,7,XP201-PR,1,B,61,24,1,FALSE,0,294,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,37,0.01,0.01010445534001279
BP-MT1-P18,BP,1,XP201-PR,1,B,2,2,0.5,FALSE,0,35,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,0,0.005,0.005105521210829247
AE-MT2-P17,AE,2,XP201-PR,1,B,20,8,1,FALSE,0,35,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,12,0.01,0.01010445534001279
BS-MT6-P8,BS,6,XP201-PR,1,B,5,2,7.5,FALSE,0,201,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,3,0.075,0.07509059901939885
EA-MT1-P34,EA,1,XP201-PR,1,B,16,1,0.5,FALSE,0,104,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,15,0.005,0.005105521210829247
BG-MT3-P21,BG,3,XP201-PR,1,B,78,54,2.5,FALSE,0,201,1.99,33.31450329051778,1.307,0.336,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,24,0.025,0.025101257727563418
VB-MT3-P20,VB,3,XP201-PR,1,B,27,4,0.5,FALSE,0,35,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,23,0.005,0.005105521210829247
DC-MT5-P76,DC,5,XP201-PR,1,B,3,2,0.5,FALSE,0,35,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,1,0.005,0.005105521210829247
PG-MT4-P89,PG,4,XP201-PR,1,B,4,1,0.5,FALSE,0,35,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,3,0.005,0.005105521210829247
AE-MT4-P27,AE,4,XP201-PR,1,C,13,7,0.5,FALSE,0,35,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,6,0.005,0.005105521210829247
BG-MT4-P15,BG,4,XP201-PR,1,C,119,62,2.5,FALSE,0,201,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,57,0.025,0.025101257727563418
DC-MT3-P29,DC,3,XP201-PR,1,C,6,2,0.5,FALSE,0,201,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,4,0.005,0.005105521210829247
BS-MT7-P13,BS,7,XP201-PR,1,C,5,3,10,FALSE,0,201,NA,NA,NA,NA,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,2,0.1,0.10008526966531657
CH-MT4-P61,CH,4,XP201-PR,1,C,3,3,80,FALSE,0,201,1.07,25.052342348786755,3.317,0.72,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,0,0.8,0.7999360477510126
IS-MT4-P56,IS,4,XP201-PR,1,C,20,20,25,FALSE,0,294,4.7625,47.37971242925549,3.193,1.254,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,0,0.25,0.25005329354082284
PA-MT6-P30,PA,6,XP201-PR,1,C,304,94,0.5,FALSE,0,294,1.5549999999999997,36.163286748700145,1.657,0.404,Early regeneration,0,2,TRUE,FALSE,TRUE,0.39,78,0,379,210,0.005,0.005105521210829247
