,Unique_code,Species,Date_treelet_planted,Date_tree_Control,Date_mortality,Survival,Plot_ID,Subblock,Location,Tube,Block,First Height (cm),Second Height (cm),Diameter stem field,No. Leaves (H),DAP (cm),RDA (cm),No. leafleft (F),Second height stem 2 (cm),Diameter stem 2 (cm),DAP stem 2 (cm),RDA stem 2 (cm),Second height stem 3 (cm),Diameter stem 3 (cm),DAP stem 3 (cm),RDA stem 3  (cm),Distance to base,Angle to the base,Distance to the top,Angle to the top,Distance to base 2,Angle to the base 2,Distance to the top 2,Angle to the top 2,Second height stem 4 (cm),Diameter stem 4 (cm),DPA stem 4 (cm),RDA stem 4 (cm),Second height stem 5 (cm),Diameter stem 5 (cm),DPA stem 5 (cm),RDA stem 5 (cm),Second height stem 6 (cm),Diameter stem 6 (cm),DPA stem 6 (cm),RDA stem 6 (cm),Second height stem 7 (cm),Diameter stem 7 (cm),DPA stem 7 (cm),RDA stem 7 (cm),Second height stem 8 (cm),Diameter stem 8 (cm),DPA stem 8 (cm),RDA stem 8 (cm),NOTES
,CH-MT4-P29,Cecropia hispidissima,August 08 2025,February 25 2026,,0,XP201-PR,A,1,A1,1,38,65,0.8,3,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-MT3-P12,Piper aduncum,March 18 2025,February 25 2026,,0,XP201-PR,A,2,A2,1,24,127,1.15,65,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OP-MT9-P38,Ochroma pyramidale,March 18 2025,February 25 2026,,0,XP201-PR,A,3,A3,1,39,190,7,16,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BG-MT5-P4,Bauhinia pichinchensis,January 21 2026,February 25 2026,,0,XP201-PR,A,4,A4,1,,14,0.2,1,,0.2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EA-MT5-P33,Ecuadendron acosta-solisianum,November 13 2025,February 25 2026,,0,XP201-PR,A,5,A5,1,30,36,0.8,6,,0.8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IS-MT2-P61,Inga silanchensis,March 18 2025,February 25 2026,,0,XP201-PR,A,7,A7,1,28,70,1.5,10,,1.5,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AE-MT4-P24,Annona edulis,January 21 2026,February 25 2026,,0,XP201-PR,A,10,A10,1,,47,0.5,7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BS-MT5-P38,Bactris setulosa,November 13 2025,February 25 2026,,0,XP201-PR,A,11,A11,1,29,39,1.5,4,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BU-MT1-P7,Brosimum utile,May 07 2025,February 25 2026,,0,XP201-PR,A,12,A12,1,26,58,1,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VB-MT4-P16,Vismia baccifera,January 21 2026,February 25 2026,,0,XP201-PR,A,13,A13,1,,32,0.3,5,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BG-MT1-P12,Banara guianensis,August 08 2025,February 25 2026,February 25 2026,1,XP201-PR,A,15,A15,1,51,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PG-MT5-P41,Pouruma guianensis,January 21 2026,February 25 2026,,0,XP201-PR,A,16,A16,1,,10,0.3,3,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CP-MT3-P3,Carapa guianensis,May 07 2025,February 25 2026,,0,XP201-PR,B,1,B1,1,52,71,1.6,6,,1.6,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-MT6-P102,Piper aduncum,January 21 2026,February 25 2026,,0,XP201-PR,B,2,B2,1,,47,0.5,4,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IS-MT5-P2,Inga silanchensis,March 18 2025,February 25 2026,,0,XP201-PR,B,3,B3,1,26,42,1,7,,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BU-MT1-P22,Brosimum utile,May 07 2025,February 25 2026,,0,XP201-PR,B,4,B4,1,25,81,0.6,7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CH-MT2-P11,Cecropia hispidissima,August 08 2025,February 25 2026,,0,XP201-PR,B,6,B6,1,22,63,1.4,6,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OP-MT7-P13,Ochroma pyramidale,May 07 2025,February 25 2026,,0,XP201-PR,B,7,B7,1,70,410,19,17,6,,,,,,,,,,,4.6,-23.3,4.8,24.5,,,,,,,,,,,,,,,,,,,,,,,,,
,BP-MT1-P18,Bauhinia pichinchensis,January 21 2026,February 25 2026,,0,XP201-PR,B,8,B8,1,,21,0.6,2,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AE-MT2-P17,Annona edulis,January 21 2026,February 25 2026,,0,XP201-PR,B,9,B9,1,,54,0.6,3,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BS-MT6-P8,Bactris setulosa,August 08 2025,February 25 2026,,0,XP201-PR,B,10,B10,1,16,29,1.3,5,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EA-MT1-P34,Ecuadendron acosta-solisianum,November 13 2025,February 25 2026,,0,XP201-PR,B,11,B11,1,29,35,0.5,6,,0.5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BG-MT3-P21,Banara guianensis,August 08 2025,February 25 2026,,0,XP201-PR,B,12,B12,1,63,150,1.7,52,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VB-MT3-P20,Vismia baccifera,January 21 2026,February 25 2026,,0,XP201-PR,B,13,B13,1,,34,0.4,5,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DC-MT5-P76,Dacryodes cupularis,January 21 2026,February 25 2026,,0,XP201-PR,B,14,B14,1,,30,0.5,2,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PG-MT4-P89,Pouruma guianensis,January 21 2026,February 25 2026,,0,XP201-PR,B,15,B15,1,,18,0.4,3,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AE-MT4-P27,Annona edulis,January 21 2026,February 25 2026,,0,XP201-PR,C,1,C1,1,,43,0.5,9,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BG-MT4-P15,Banara guianensis,August 08 2025,February 25 2026,,0,XP201-PR,C,2,C2,1,61,118,1.25,77,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DC-MT3-P29,Dacryodes cupularis,August 08 2025,February 25 2026,,0,XP201-PR,C,4,C4,1,25,35,0.6,4,,0.6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BS-MT7-P13,Bactris setulosa,August 08 2025,February 25 2026,,0,XP201-PR,C,5,C5,1,19,16,1.1,4,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CH-MT4-P61,Cecropia hispidissima,August 08 2025,February 25 2026,,0,XP201-PR,C,6,C6,1,46,90,1.2,10,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IS-MT4-P56,Inga silanchensis,May 07 2025,February 25 2026,,0,XP201-PR,C,7,C7,1,20,86,1.9,11,,1.9,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-MT6-P30,Piper aduncum,May 07 2025,February 25 2026,,0,XP201-PR,C,8,C8,1,14,146,4,220,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
